"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	3.262007	0.000000	369.160350	0.000041	369.258893
2000	3.268959	0.000000	366.776997	0.000026	366.871628
2000	3.109301	0.000000	368.947668	0.000026	369.049545
2000	3.365871	0.000000	363.939003	0.000026	364.035998
2000	3.202826	0.000000	367.054313	0.000026	367.153969
2000	3.219353	0.000000	365.401203	0.000026	365.501547
2000	3.315920	0.000000	365.480039	0.000026	365.578834
2000	3.316294	0.000000	364.474141	0.000025	364.569663
2000	3.139480	0.000000	365.414703	0.000026	365.512825
2000	3.253314	0.000000	365.979845	0.000025	366.075836
2000	3.173660	0.000000	367.902682	0.000026	367.999812
2000	3.250221	0.000000	367.002167	0.000027	367.104486
2000	3.306554	0.000000	368.006408	0.000027	368.109843
2000	3.337955	0.000000	366.692705	0.000043	366.791028
2000	3.194760	0.000000	367.875264	0.000027	367.976141
2000	3.211250	0.000000	364.853695	0.000025	364.951137
2000	3.245682	0.000000	367.365753	0.000025	367.463388
2000	2.975919	0.000000	366.730361	0.000027	366.825719
2000	3.064598	0.000000	365.757443	0.000025	365.860712
2000	3.197855	0.000000	365.981399	0.000026	366.075859
2000	3.088106	0.000000	365.351281	0.000025	365.445429
2000	3.164224	0.000000	367.663194	0.000026	367.762626
2000	3.314744	0.000000	366.711836	0.000029	366.809559
2000	3.224596	0.000000	363.715356	0.000028	363.808685
2000	3.209436	0.000000	366.714387	0.000026	366.814461
2000	3.176316	0.000000	365.388644	0.000025	365.488787
2000	3.184253	0.000000	378.193771	0.000026	378.303664
2000	3.147595	0.000000	394.410227	0.000025	394.519506
2000	3.139795	0.000000	375.608860	0.000026	375.710589
2000	3.136523	0.000000	367.681065	0.000025	367.775061
2000	3.194013	0.000000	366.066839	0.000026	366.159901
2000	3.104362	0.000000	366.308442	0.000026	366.410209
2000	3.336813	0.000000	367.944372	0.000031	368.041748
2000	3.137738	0.000000	368.720122	0.000025	368.817033
2000	3.206602	0.000000	370.697148	0.000026	370.799514
2000	3.260033	0.000000	367.305080	0.000026	367.403766
2000	3.121964	0.000000	370.189284	0.000027	370.288711
2000	3.186641	0.000000	366.229484	0.000026	366.328909
2000	3.192283	0.000000	367.484842	0.000044	367.582723
