"epochs"	"rss"	"correctness"	"etl"	"etp"	"etc"
2000	3.127763	0.000000	359.808101	0.000026	359.879003
2000	3.186556	0.000000	359.834096	0.000029	359.905127
2000	3.253058	0.000000	358.750534	0.000031	358.822144
2000	3.043110	0.000000	364.927907	0.000026	364.999738
2000	3.234905	0.000000	360.947861	0.000042	361.019778
2000	3.252515	0.000000	359.491608	0.000029	359.563021
2000	3.112080	0.000000	358.697244	0.000033	358.769106
2000	3.218419	0.000000	362.286921	0.000026	362.357773
2000	3.018929	0.000000	360.413515	0.000036	360.484928
2000	3.230365	0.000000	358.817562	0.000038	358.889407
2000	3.294227	0.000000	361.064280	0.000027	361.135521
2000	3.184977	0.000000	360.579394	0.000024	360.651084
2000	3.375175	0.000000	361.888387	0.000026	361.959664
2000	3.214257	0.000000	361.277277	0.000027	361.348278
2000	3.240944	0.000000	361.410673	0.000025	361.482302
2000	3.140903	0.000000	360.198776	0.000027	360.271040
2000	3.260518	0.000000	359.189462	0.000025	359.260492
2000	3.241894	0.000000	359.736300	0.000024	359.813354
2000	3.215388	0.000000	361.173521	0.000027	361.245155
2000	3.114035	0.000000	361.666289	0.000024	361.739132
2000	3.035981	0.000000	360.780769	0.000026	360.852346
2000	3.228798	0.000000	362.361188	0.000025	362.432411
2000	3.171014	0.000000	362.411779	0.000025	362.482868
2000	3.174910	0.000000	361.755478	0.000024	361.841256
2000	3.250761	0.000000	359.862774	0.000025	359.934866
2000	3.209093	0.000000	360.767930	0.000025	360.844653
2000	3.147799	0.000000	361.871913	0.000024	361.943488
2000	3.204485	0.000000	361.933353	0.000025	362.004745
2000	3.263942	0.000000	387.052703	0.000040	387.135509
2000	3.237630	0.000000	390.407009	0.000026	390.489725
2000	3.268149	0.000000	364.205639	0.000025	364.285158
2000	3.251347	0.000000	360.960013	0.000026	361.031359
2000	3.283227	0.000000	361.008769	0.000025	361.079646
2000	3.314453	0.000000	362.049016	0.000026	362.120655
2000	3.158527	0.000000	360.769451	0.000024	360.845967
2000	3.296377	0.000000	358.154595	0.000024	358.228681
2000	3.188405	0.000000	362.466768	0.000025	362.538318
2000	3.319682	0.000000	361.892711	0.000027	361.963897
2000	3.223394	0.000000	360.213035	0.000026	360.288799
2000	3.294870	0.000000	363.296271	0.000025	363.371093
2000	3.199777	0.000000	360.700552	0.000037	360.771990
2000	3.270725	0.000000	360.074579	0.000040	360.145720
2000	3.311491	0.000000	359.892919	0.000031	359.964558
2000	3.130143	0.000000	359.668744	0.000024	359.742669
2000	3.344511	0.000000	358.975478	0.000024	359.046686
2000	3.220022	0.000000	360.767130	0.000025	360.838363
2000	3.155903	0.000000	360.565170	0.000026	360.639499
2000	3.123682	0.000000	362.045977	0.000024	362.117401
